"","en","af","am","ar","as","az","be","bg","bn","bs","cs","da","de","dv","el","es","et","fa","fi","fr","ga","he","hi","hr","hy","id","is","it","ja","jv","ka","kk","ko","ky","lb","lt","lv","mk","mn","ms","mt","my","ne","nl","no","pl","ps","pt","ro","ru","sk","sl","so","sq","sr","su","sv","sw","tg","th","tk","tl","tr","uk","ur","uz","vi","zh"
"cheerful","cheerful","vrolik","ደስተኛ","مبتهج","হাঁহিমুখীয়া","şən","вясёлы","весело","আনন্দিত","veselo","veselý","glad","heiter","އުފާވެރި","χαρούμενος","alegre","rõõmsameelne","بشاش","iloinen","de bonne humeur","cheerful","עַלִיז","खुश","veseo","ուրախ","riang","hress","allegro","陽気な","ceria","მხიარული","көңілді","쾌활한","шайыр","lëschteg","linksmas","jautrs","весела","хөгжилтэй","ceria","ferrieħa","ရွှင်သည်။","हँसमुख","vrolijk","munter","wesoły","خوشحاله","alegre","bine dispus","жизнерадостный","veselý","vesel","farxad leh","i gëzuar","весела","riang","glad","mchangamfu","шодравон","ร่าเริง","şadyýan","masayahin","neşeli","веселий","خوشگوار","quvnoq","vui lòng","快乐"
"bad","bad","sleg","መጥፎ","سيء","বেয়া","pis","дрэнна","лошо","খারাপ","loše","špatný","dårligt","Schlecht","ގޯސް","κακό","malo","halb","بد","huono","mal","olc","רַע","खराब","loše","վատ","buruk","slæmt","cattivo","悪い","ala","ცუდი","нашар","나쁜","жаман","schlecht","blogai","slikti","лошо","муу","teruk","ħażin","မကောင်းဘူး။","नराम्रो","slechte","dårlig","zły","بد","mau","rău","Плохо","zlý","slab","xun","keq","лоше","goréng","dålig","mbaya","бад","แย่","erbet","masama","kötü","погано","برا","yomon","xấu","坏的"
"disgust","disgust","walging","አስጸያፊ","الاشمئزاز","বিতৃষ্ণা","ikrah","агіда","отвращение","বিতৃষ্ণা","gađenje","hnus","afsky","der Ekel","ނަފްރަތު","αηδία","asco","vastikust","انزجار","inho","dégoûter","disgust","גועל","घृणा","gađenje","զզվանք","menjijikkan","viðbjóð","disgusto","嫌悪","jijik","ზიზღი","жиіркеніш","싫음","жийиркенүү","Eekleges","pasibjaurėjimas","riebums","одвратност","зэвүүцэл","meluat","stmerrija","စက်ဆုတ်","घृणा","walging","avsky","niesmak","کرکه","desgosto","dezgust","отвращение","znechutenie","gnus","karaahiyo","neveri","гађење","jijik","avsky","karaha","нафрат","ขยะแขยง","ýigrenç","pagkasuklam","iğrenme","огида","نفرت","jirkanish","ghê tởm","厌恶"
"failure","failure","mislukking","ውድቀት","بالفشل","বিফল হোৱা","uğursuzluq","правал","провал","ব্যর্থতা","neuspjeh","selhání","fiasko","Fehler","ފެއިލްވުން","αποτυχία","falla","ebaõnnestumine","شکست","epäonnistuminen","échec","teip","כישלון","असफलता","neuspjeh","ձախողում","kegagalan","bilun","fallimento","失敗","gagal","წარუმატებლობა","сәтсіздік","실패","ийгиликсиздик","Echec","nesėkmė","neveiksme","неуспех","бүтэлгүйтэл","kegagalan","falliment","ရှုံးနိမ့်ခြင်း။","असफलता","mislukking","feil","niepowodzenie","ناکامي","falha","eșec","отказ","zlyhanie","neuspeh","guuldarro","dështimi","неуспех","kagagalan","fel","kushindwa","ноком","ความล้มเหลว","şowsuzlyk","kabiguan","arıza","невдача","ناکامی","muvaffaqiyatsizlik","thất bại","失败"
"sadness","sadness","hartseer","ሀዘን","الحزن","দুখ","kədər","смутак","тъга","দুঃখ","tuga","smutek","sorg","Traurigkeit","ހިތާމައެވެ","θλίψη","tristeza","kurbust","غمگینی","surullisuus","tristesse","brón","עֶצֶב","उदासी","tuga","տխրություն","kesedihan","sorg","tristezza","悲しみ","nelangsa","სევდა","мұң","비애","кайгы","traureg","liūdesys","skumjas","тага","уйтгар гуниг","kesedihan","dwejjaq","ဝမ်းနည်းမှု","दु:ख","droefheid","tristhet","smutek","غم","tristeza","tristeţe","грусть","smútok","žalost","murugo","trishtim","туга","kasedih","sorg","huzuni","андӯҳ","ความเศร้า","gynanç","kalungkutan","üzüntü","смуток","اداسی","qayg'u","sự sầu nảo","悲伤"
"hurtful","hurtful","kwetsend","ጎጂ","مؤلم","আঘাতজনক","incidir","крыўдна","нараняващо","ক্ষতিকর","bolno","zraňující","sårende","verletzend","އަނިޔާވެރިއެވެ","βλαβερός","hiriente","haiget tekitav","آسیب زا","loukkaavaa","nuisible","gortach","פּוֹגֵעַ","हानिकारक","štetno","վիրավորական","menyakitkan","meiðandi","offensivo","人を傷つける","nglarani","მტკივნეული","жаралы","상처를 주는","зыяндуу","verletzend","žeidžiantis","aizvainojoši","повреден","гомдмоор","menyakitkan hati","li jweġġgħu","နာကျင်စရာ","पीडादायी","kwetsend","sårende","bolesny","دردونکی","doloroso","rănitoare","обидный","zraňujúci","boleče","dhaawac leh","lënduese","штетно","nganyenyeri","sårande","kuumiza","озордиҳанда","เจ็บ","zyýanly","nakakasakit","incitici","боляче","تکلیف دہ","og'riqli","làm tổn thương","伤人的"
"horrible","horrible","aaklig","አሰቃቂ","رهيب","বৰ বেয়া","dəhşətli","жахлівы","ужасен","ভয়ঙ্কর","užasno","hrozný","forfærdelig","schrecklich","ވަރަށް ކަމުނުދާ","φρικτός","horrible","kohutav","ناگوار","kamalaa","horrible","uafás","מַחרִיד","भयंकर","užasno","սարսափելի","mengerikan","hræðilegt","orribile","最悪","nggegirisi","საზარელი","қорқынышты","끔찍한","коркунучтуу","schrecklech","siaubinga","šausmīgi","ужасно","аймшигтай","ngeri","orribbli","ကြောက်စရာကောင်းသော","भयानक","vreselijk","fryktelig","straszny","وحشتناک","horrível","oribil","какой ужас","strašné","grozno","naxdin leh","e tmerrshme","страшно","pikareueuseun","fruktansvärd","ya kutisha","даҳшатнок","น่ากลัว","elhenç","kakila-kilabot","berbat","жахливий","خوفناک","dahshatli","tệ hại","可怕"
"dirty","dirty","vuil","ቆሻሻ","قذر","লেতেৰা","çirkli","брудны","мръсен","নোংরা","prljavo","špinavý","snavset","dreckig","ހުތުރު","βρώμικος","sucio","määrdunud","کثیف","likainen","sale","salach","מְלוּכלָך","गंदा","prljavi","կեղտոտ","kotor","skítugur","sporco","汚れた","reged","ბინძური","лас","더러운","кир","dreckeg","purvinas","netīrs","валкани","бохир","kotor","maħmuġ","ညစ်ပတ်တယ်။","फोहोर","vies","skitne","brudny","ناپاکه","sujo","murdar","грязный","špinavý","umazan","wasakh ah","pis","прљаво","kotor","smutsig","chafu","ифлос","สกปรก","hapa","marumi","kirli","брудний","گندا","iflos","dơ bẩn","肮脏的"
"awful","awful","aaklig","አስፈሪ","سيى","ভয়াবহ","dəhşətli","жудасны","ужасно","ভয়াবহ, আতঙ্কজনক","grozno","hrozné","forfærdelig","abscheulich","ކަމުނުދާ","απαίσιος","horrible","kohutav","خیلی بد و ناخوشایند","kauheaa","affreux","uafásach","נורא","भयानक","grozno","սարսափելի","buruk sekali","hræðilegt","terribile","最悪","nggegirisi","საშინელი","қорқынышты","끔찍한","коркунучтуу","schrecklech","baisus","šausmīgi","Ужасно","аймшигтай","dahsyat","orribbli","မကောင်းပါဘူး။","डरलाग्दो","vreselijk","fryktelig","okropny","ډارونکی","horrível","îngrozitor","ужасный","hrozné","grozno","aad u xun","e tmerrshme","грозно","uih","förfärlig","mbaya","даҳшатнок","แย่มาก","aýylganç","kakila-kilabot","berbat","жахливо","خوفناک","dahshatli","kinh khủng","可怕"
"abuse","abuse","misbruik","አላግባብ መጠቀም","تعاطي","অপব্যৱহাৰ","sui-istifadə","злоўжыванне","злоупотреба","অপব্যবহার","zlostavljanje","zneužívání","misbrug","Missbrauch","އަނިޔާ","κατάχρηση","abuso","kuritarvitamine","سو استفاده کردن","väärinkäyttö","abuser de","mí-úsáid","התעללות","दुर्व्यवहार करना","zlostavljanje","չարաշահում","melecehkan","misnotkun","abuso","乱用","penyalahgunaan","ბოროტად გამოყენება","теріс пайдалану","남용","кыянаттык","Mëssbrauch","piktnaudžiavimas","ļaunprātīga izmantošana","злоупотреба","хүчирхийлэл","penderaan","abbuż","အလွဲသုံးစားလုပ်ခြင်း။","दुरुपयोग","misbruik","misbruke","nadużywać","ناوړه ګټه اخیستنه","Abuso","abuz","злоупотреблять","zneužívanie","zloraba","xadgudub","abuzimi","злоупотреба","nyiksa","missbruk","unyanyasaji","сӯиистифода","ใช้ในทางที่ผิด","hyýanatçylykly peýdalanmak","pang-aabuso","taciz","зловживання","بدسلوکی","suiiste'mol qilish","lạm dụng","虐待"
"caress","caress","streel","መንከባከብ","عناق","আদৰ কৰা","nəvaziş","лашчыць","ласка","আদর","milovati","pohlazení","kærtegn","streicheln","ފިރުމާލުން","χάδι, χαϊδεύω","caricia","pai","نوازش","hyväillä","caresse","caothach","לְלַטֵף","दुलार","milovati","շոյել","membelai","strjúka","carezza","愛撫","ngelus-elus","მოფერება","сипау","애무","эркелетүү","strecken","paglostyti","samīļot","галење","энхрийлэх","belaian","caress","နင်းချေသည်။","स्याहार","strelen","kjærtegn","pieścić","لاس","carícia","mângâiere","ласкать","pohladenie","božati","salaaxid","përkëdhelje","миловати","ngusapan","smeka","bembeleza","навозиш кардан","กอดรัด","caress","haplos","okşamak","пестити","پیار","erkalash","mơn trớn","抚摸"
"freedom","freedom","vryheid","ነፃነት","الحريه","স্বাধীনতা","azadlıq","свабода","свобода","স্বাধীনতা","sloboda","svoboda","frihed","Freiheit","މިނިވަންކަން","ελευθερία","libertad","vabadust","آزادی","vapautta","liberté","saoirse","חוֹפֶשׁ","आज़ादी","sloboda","ազատություն","kebebasan","frelsi","libertà","フリーダム","kamardikan","თავისუფლება","Бостандық","자유","эркиндик","Fräiheet","laisvė","brīvība","слободата","эрх чөлөө","kebebasan","libertà","လွတ်လပ်မှု","स्वतन्त्रता","vrijheid","frihet","wolność","ازادي","liberdade","libertate","свобода","slobody","svoboda","xorriyadda","lirinë","слобода","kabebasan","frihet","uhuru","озодй","เสรีภาพ","azatlyk","kalayaan","özgürlük","свобода","آزادی","erkinlik","tự do","自由"
